Retailer,SKU,number_of_stores
Currys,Air,14
Currys,Air Bundle,9
Currys,POS Lite & Solo,5
Currys,Solo,5
Currys,Solo Printer,4
WHSmith,Air,87
WHSmith,Air Bundle,232
WHSmith,Solo,88
