Retailer,SKU,number_of_stores
Currys,Air,55
Currys,Air Bundle,43
Currys,POS Lite & Solo,65
Currys,Solo,18
Currys,Solo Printer,2
WHSmith,Air,21
WHSmith,Air Bundle,10
WHSmith,Solo,174
